X,Y,InitialLatitude,InitialLongitude,POOState
-120.772613157,39.361785201,39.37291,-120.7704,US-CA
-116.841078906,33.530098874,33.530094,-116.841067,US-CA
-122.771822429,39.089208022,39.089203,-122.771809,US-CA
-118.24347218,33.9612648460001,33.96126,-118.24346,US-CA
-118.147982225,34.694454932,34.69445,-118.14797,US-CA
-118.144342226,34.7129849340001,34.71298,-118.14433,US-CA
-117.411262014,33.652174857,33.6501,-117.4091,US-CA
-121.072387157,38.9987111470001,38.998706,-121.072374,US-CA
-123.032080495,39.3066380180001,39.306633,-123.032067,US-CA
-118.749512321,34.6410348910001,34.63428,-118.7345,US-CA
-118.228152166,33.8253848320001,33.82538,-118.22814,US-CA
-118.178912166,33.9308748460001,33.93087,-118.1789,US-CA
-122.823013615,40.4037051170001,40.4037,-122.823,US-CA
-118.345212194,33.9309548370001,33.93095,-118.3452,US-CA
-122.331521556,40.505572165,40.505567,-122.331508,US-CA
-121.634513105,37.8485050080001,37.8485,-121.6345,US-CA
-118.185512165,33.9036448430001,33.90364,-118.1855,US-CA
-118.137832224,34.7039149340001,34.70391,-118.13782,US-CA
-118.575852242,34.040474836,34.04047,-118.57584,US-CA
-122.31454667,41.2964052250001,41.2964,-122.314533,US-CA
-119.617731712,37.1912950920001,37.19129,-119.617719,US-CA
-121.695063035,37.146121943,37.146117,-121.69505,US-CA
-118.167012164,33.922014846,33.92201,-118.167,US-CA
-117.786872111,34.0579248820001,34.05792,-117.78686,US-CA
-122.606043392,38.9983470280001,38.998342,-122.60603,US-CA
-118.502879551,37.405888191,37.405883,-118.502867,US-CA
-121.904119541,40.8536442270001,40.853639,-121.904106,US-CA
-118.15157217,34.0341548590001,34.03415,-118.15156,US-CA
-118.136942223,34.6893749320001,34.68937,-118.13693,US-CA
-120.497540677,35.4549178670001,35.454913,-120.497528,US-CA
-117.847342155,34.4690849250001,34.46908,-117.84733,US-CA
-116.750052919,33.9030519230001,33.903047,-116.750041,US-CA
-117.78581211,34.0581948830001,34.05819,-117.7858,US-CA
-118.024362136,33.8747248490001,33.87472,-118.02435,US-CA
-117.86978212,33.995344871,33.99534,-117.86977,US-CA
-118.546332268,34.421394879,34.42139,-118.54632,US-CA
-118.164802173,34.037004859,34.037,-118.16479,US-CA
-120.437594625,34.995733826,34.995729,-120.437582,US-CA
-117.774172107,34.034974881,34.03497,-117.77416,US-CA
-117.969582183,34.5577949280001,34.55779,-117.96957,US-CA
-123.462346601,39.6269050070001,39.6269,-123.462333,US-CA
-116.786531844,32.831944794,32.83194,-116.78652,US-CA
-116.995289682,32.844449185,,,US-CA
-118.219932191,34.151744868,34.15174,-118.21992,US-CA
-117.828912123,34.1208548870001,34.12085,-117.8289,US-CA
-120.544070686,35.4693588650001,35.469354,-120.544058,US-CA
-117.978002147,34.1038048770001,34.1038,-117.97799,US-CA
-118.29051221,34.235004873,34.235,-118.2905,US-CA
-120.132945866,37.820538114,37.820533,-120.132933,US-CA
-121.642126997,36.875012923,36.875008,-121.642114,US-CA
-118.187012165,33.900094842,33.90009,-118.187,US-CA
-118.367812198,33.9329848360001,33.93298,-118.3678,US-CA
-118.3576422,33.974574841,33.97457,-118.35763,US-CA
-122.11043408,36.9862739000001,36.986269,-122.110421,US-CA
-118.084152154,33.9761948570001,33.97619,-118.08414,US-CA
-118.157912225,34.674924929,34.67492,-118.1579,US-CA
-118.105512153,33.914654849,33.91465,-118.1055,US-CA
-122.02626354,40.719605207,40.7196,-122.02625,US-CA
-118.81751254,36.8122273320001,,,US-CA
-117.422032015,33.637484855,33.63571,-117.4212,US-CA
-118.065152145,33.902324849,33.90232,-118.06514,US-CA
-122.52663532,38.519432997,38.519428,-122.526622,US-CA
-118.202942174,33.971864849,33.97186,-118.20293,US-CA
-118.148092168,34.009654857,34.00965,-118.14808,US-CA
-118.285742177,33.84212483,33.84212,-118.28573,US-CA
-118.552062264,34.3567148720001,34.35671,-118.55205,US-CA
-117.775952108,34.048904882,34.0489,-117.77594,US-CA
-117.04180794,33.516836862,33.516832,-117.041796,US-CA
-118.157302229,34.7186649340001,34.71866,-118.15729,US-CA
-117.982122148,34.1095948770001,34.10959,-117.98211,US-CA
-122.221402022,37.214588212,,,US-CA
-118.001642142,33.9951848630001,33.99518,-118.00163,US-CA
-118.082972153,33.9671648560001,33.96716,-118.08296,US-CA
-118.156882225,34.674904929,34.6749,-118.15687,US-CA
-118.236172201,34.240054877,34.24005,-118.23616,US-CA
-118.185312166,33.9137048440001,33.9137,-118.1853,US-CA
-116.685791827,32.8363648000001,32.83484,-116.686,US-CA
-118.148132226,34.7039249330001,34.70392,-118.14812,US-CA
-118.367812198,33.9329848360001,33.93298,-118.3678,US-CA
-118.091692215,34.6823049340001,34.6823,-118.09168,US-CA
-119.700897681,36.7716230460001,36.771618,-119.700885,US-CA
-117.749456467,33.593338132,,,US-CA
-122.31316367,41.2940382250001,41.294033,-122.31315,US-CA
-121.892709476,40.420615195,40.42061,-121.892696,US-CA
-118.135622223,34.689434932,34.68552,-118.13296,US-CA
-119.660949739,37.369339106,37.369334,-119.660937,US-CA
-120.985568702,38.668894026,,,US-CA
-117.887742123,34.003074871,34.00307,-117.88773,US-CA
-118.142862216,34.6017449220001,34.58711,-118.12971,US-CA
-118.55197226,34.308364866,34.30836,-118.55196,US-CA
-121.565299986,36.878191928,36.878187,-121.565287,US-CA
-117.103345219,32.6438936440001,,,US-CA
-118.151052169,34.0190548580001,34.01905,-118.15104,US-CA
-117.824092163,34.6111449420001,34.61114,-117.82408,US-CA
-117.816312116,34.063834881,34.06383,-117.8163,US-CA
-116.375282806,33.2841958700001,33.284191,-116.375271,US-CA
-119.79595175,37.2728420870001,37.272837,-119.795939,US-CA
-118.067662161,34.08799487,34.08799,-118.06765,US-CA
-118.250712421,36.579185125,36.57994,-118.2498,US-CA
-119.789456882,34.540282619,,,US-CA
-120.880321993,37.8897640660001,37.889759,-120.880309,US-CA
-118.188432176,34.032244857,34.03224,-118.18842,US-CA
-117.093257969,33.7703638880001,33.770359,-117.093246,US-CA
-118.169012168,33.9643748500001,33.96437,-118.169,US-CA
-118.146412184,34.209744879,34.19867,-118.1077,US-CA
-118.185512165,33.9036448430001,33.90364,-118.1855,US-CA
-117.894292135,34.1306348850001,34.13063,-117.89428,US-CA
-118.359712197,33.932384836,33.93238,-118.3597,US-CA
-122.092713553,40.7409452030001,40.74223,-122.0932,US-CA
-118.165662227,34.6836249300001,34.68362,-118.16565,US-CA
-118.183512165,33.905514843,33.90551,-118.1835,US-CA
-120.904933122,38.9279121540001,38.927907,-120.90492,US-CA
-118.137832224,34.7039149340001,34.70391,-118.13782,US-CA
-116.937893864,32.731075774,32.731071,-116.937882,US-CA
-118.001202185,34.5211049220001,34.5211,-118.00119,US-CA
-119.094373442,34.213754825,,,US-CA
-117.153513943,33.3011888300001,33.301184,-117.153502,US-CA
-118.361312194,33.891064832,33.89106,-118.3613,US-CA
-117.500684043,33.824504872,33.8245,-117.500672,US-CA
-122.391230724,41.572072238,41.572067,-122.391217,US-CA
-118.15424222,34.627604924,34.6276,-118.15423,US-CA
-122.178813112,37.180104912,37.1801,-122.1788,US-CA
-118.281392229,34.4834749010001,34.48347,-118.28138,US-CA
-118.115232209,34.57144492,34.57144,-118.11522,US-CA
-117.835362155,34.488574928,34.48857,-117.83535,US-CA
-118.230302181,34.008124852,34.00812,-118.23029,US-CA
-118.147722222,34.6603349280001,34.66033,-118.14771,US-CA
-117.45551207,34.254834923,34.25711,-117.4583,US-CA
-118.153312221,34.631104925,34.6273,-118.1533,US-CA
-116.806829927,33.8699659160001,33.869961,-116.806818,US-CA
-118.119432211,34.587194922,34.58719,-118.11942,US-CA
-117.77762211,34.0742548850001,34.07425,-117.77761,US-CA
-118.106922165,34.0619348650001,34.06193,-118.10691,US-CA
-122.997344388,38.500714959,38.50071,-122.997331,US-CA
-120.414430016,38.704955173,38.70495,-120.414417,US-CA
-117.482612035,33.7604448660001,33.76044,-117.4826,US-CA
-118.202622175,33.986114851,33.98611,-118.20261,US-CA
-118.311342253,34.7037349230001,34.70382,-118.32429,US-CA
-116.947300998,34.441371974,34.441367,-116.947289,US-CA
-117.121385962,33.6219828700001,33.621978,-117.121374,US-CA
-119.18195675,34.1472270130001,,,US-CA
-118.090472144,33.83148484,33.83148,-118.09046,US-CA
-117.186584937,33.1475648110001,33.14756,-117.186573,US-CA
-118.143382222,34.6711549300001,34.67115,-118.14337,US-CA
-117.823912122,34.119734887,34.11973,-117.8239,US-CA
-118.170812166,33.9450848480001,33.94508,-118.1708,US-CA
-118.102262158,33.989234857,33.98923,-118.10225,US-CA
-118.247702169,33.8242648310001,33.82426,-118.24769,US-CA
-118.153312221,34.631104925,34.6311,-118.1533,US-CA
-121.955513613,41.282665255,41.28442,-121.9508,US-CA
-118.547672269,34.420884879,34.42088,-118.54766,US-CA
-118.447422252,34.416444884,34.41383,-118.44072,US-CA
-118.123672222,34.699604934,34.6996,-118.12366,US-CA
-118.3695122,33.9536148380001,33.95361,-118.3695,US-CA
-120.193511869,37.7660991050001,37.766094,-120.193499,US-CA
-117.249518015,34.008054907,34.00805,-117.249506,US-CA
-118.165882229,34.703954932,34.70395,-118.16587,US-CA
-117.99281214,33.9955948640001,33.99559,-117.9928,US-CA
-117.466012079,34.3397949320001,34.33979,-117.466,US-CA
-118.3684822,33.9480348370001,33.94803,-118.36847,US-CA
-118.699329262,34.039804829,34.04019,-118.69829,US-CA
-117.579784042,33.638195846,,,US-CA
-118.182882172,33.9936548530001,33.99365,-118.18287,US-CA
-118.170512167,33.9531448490001,33.95314,-118.1705,US-CA
-117.930252166,34.4372349170001,34.43723,-117.93024,US-CA
-117.041799962,33.7971978940001,33.797193,-117.041788,US-CA
-118.549132269,34.4174348780001,34.41743,-118.54912,US-CA
