X,Y,InitialLatitude,InitialLongitude,POOState
-94.670276864,30.6493754030001,30.60423,-94.68163,US-TX
-95.5176071069999,31.129305468,31.1293,-95.5176,US-TX
-81.80363349,34.5448667000001,34.54456,-81.80473,US-SC
-94.573267148,35.725776389,35.72577,-94.57326,US-OK
-103.626710406,44.3020971180001,44.30209,-103.6267,US-SD
-120.772613157,39.361785201,39.37291,-120.7704,US-CA
-114.371911536,34.4557851230001,34.4559,-114.3719,US-AZ
-116.841078906,33.530098874,33.530094,-116.841067,US-CA
-84.260004355,36.9350071000001,36.935,-84.26,US-KY
-111.915112694,46.4717666120001,46.47176,-111.9151,US-MT
-122.771822429,39.089208022,39.089203,-122.771809,US-CA
-99.015565394,47.9358412760001,,,US-ND
-120.209314557,47.6749458520001,47.67489,-120.2093,US-WA
-92.8033466639999,35.5409064410001,35.5409,-92.80334,US-AR
-98.408341487,36.376117406,,,US-OK
-87.2143350379999,34.2506964310001,34.25069,-87.21433,US-AL
-117.216014038,47.759916178,47.75994,-117.2156,US-WA
-118.24347218,33.9612648460001,33.96126,-118.24346,US-CA
-109.816238397,48.287889169,,,US-MT
-118.147982225,34.694454932,34.69445,-118.14797,US-CA
-105.819811303,46.4234571760001,46.42345,-105.8198,US-MT
-85.058264225,30.1051256060001,30.10456,-85.04488,US-FL
-118.144342226,34.7129849340001,34.71298,-118.14433,US-CA
-83.4940041999999,37.98000734,37.98,-83.494,US-KY
-93.127996498,31.3949456120001,31.39901,-93.11909,US-LA
-117.411262014,33.652174857,33.6501,-117.4091,US-CA
-92.632784998,41.9688964740001,,,US-IA
-105.743609678,33.1615753940001,33.16628,-105.7391,US-NM
-121.072387157,38.9987111470001,38.998706,-121.072374,US-CA
-123.032080495,39.3066380180001,39.306633,-123.032067,US-CA
-96.407147679,36.4074464180001,36.40744,-96.40714,US-OK
-100.662259949,46.0917298030001,,,US-ND
-98.857232032,48.021119077,,,US-ND
-118.749512321,34.6410348910001,34.63428,-118.7345,US-CA
-105.710109678,33.2705554130001,33.27055,-105.7101,US-NM
-118.228152166,33.8253848320001,33.82538,-118.22814,US-CA
-118.178912166,33.9308748460001,33.93087,-118.1789,US-CA
-92.8550966719999,35.4592764230001,35.45927,-92.85509,US-AR
-87.363085008,32.9502061530001,32.9502,-87.36308,US-AL
-86.604434703,31.0820557760001,31.08205,-86.60443,US-AL
-95.191656536,47.1821015730001,,,US-MN
-121.301213963,43.981005505,43.981,-121.3012,US-OR
-95.532290427,30.800988735,30.80098333,-95.53228333,US-TX
-86.158614681,33.2049462520001,33.20494,-86.15861,US-AL
-87.254883391,41.6071911610001,,,US-IN
-122.823013615,40.4037051170001,40.4037,-122.823,US-CA
-96.8046478049999,36.6932764470001,36.69327,-96.80464,US-OK
-84.301337367,36.9218570950001,36.92185,-84.301333,US-KY
-89.129944797,30.6103083,30.60287,-89.12585,US-MS
-96.356397127,42.133062915,,,US-NE
-118.345212194,33.9309548370001,33.93095,-118.3452,US-CA
-93.696871102,31.3786587640001,31.37865318,-93.69686446,US-TX
-83.521218151,37.1309071700001,37.1309,-83.521214,US-KY
-122.331521556,40.505572165,40.505567,-122.331508,US-CA
-89.159416344,31.106262825,31.10591,-89.15371,US-MS
-104.44971068,44.760937106,44.77603,-104.4604,US-WY
-105.271709919,37.3551260620001,37.35512,-105.2717,US-CO
-117.287714062,47.8049461730001,47.80496,-117.2873,US-WA
-104.111409545,36.184605956,,,US-NM
-94.183756973,34.7050062180001,34.705,-94.18375,US-AR
-121.301113962,43.9769655050001,43.97696,-121.3011,US-OR
-98.48065809,34.905696047,34.90569,-98.48065,US-OK
-121.634513105,37.8485050080001,37.8485,-121.6345,US-CA
-113.175811572,37.2667855400001,37.26693,-113.1758,US-UT
-96.575277622,35.090776175,35.09077,-96.57527,US-OK
-93.442946841,35.6258064260001,35.65786,-93.45116,US-AR
-96.2127375439999,35.3038562310001,35.30385,-96.21273,US-OK
-105.572009804,35.3383357430001,35.33833,-105.572,US-NM
-118.185512165,33.9036448430001,33.90364,-118.1855,US-CA
-95.0577087139999,47.8697082570001,47.8697,-95.0577,US-MN
-94.641597168,35.7480063900001,35.748,-94.64159,US-OK
-118.137832224,34.7039149340001,34.70391,-118.13782,US-CA
-114.93861385,48.8372564970001,48.83684,-114.9713,US-MT
-96.806696062,48.296748913,,,US-MN
-108.697790181,48.4619515530001,,,US-MT
-118.575852242,34.040474836,34.04047,-118.57584,US-CA
-106.169254024,36.331744858,36.331739,-106.169244,US-NM
-89.102035604,34.8358064710001,34.8358,-89.1024,US-MS
-95.618099784,48.0766076680001,,,US-MN
-95.44001882,47.8496082250001,47.8496,-95.44001,US-MN
-89.093285397,31.101785696,31.10189,-89.09356,US-MS
-81.457123506,30.7923279010001,,,US-GA
-81.322503067,27.764727356,,,US-FL
-97.1757677259999,34.4127260230001,34.41272,-97.17576,US-OK
-122.31454667,41.2964052250001,41.2964,-122.314533,US-CA
-97.015244572,34.468524883,,,US-OK
-119.617731712,37.1912950920001,37.19129,-119.617719,US-CA
-110.449410688,33.340775186,33.29274,-110.444,US-AZ
-121.695063035,37.146121943,37.146117,-121.69505,US-CA
-87.364375008,32.9513361530001,32.95133,-87.36437,US-AL
-112.369912791,46.4727365680001,46.47273,-112.3699,US-MT
-98.585128205,36.0568962420001,36.05689,-98.58512,US-OK
-93.14773676,35.5913864340001,35.59144,-93.14773,US-AR
-81.136697595,39.448035729,39.735556,-81.137174,US-OH
-118.167012164,33.922014846,33.92201,-118.167,US-CA
-117.786872111,34.0579248820001,34.05792,-117.78686,US-CA
-84.6999050429999,43.597608307,43.5976,-84.6999,US-MI
-83.6458372559999,33.1258396270001,,,US-GA
-85.539344536,33.7930164000001,33.79301,-85.53934,US-AL
-112.846412605,45.0068563900001,45.0034,-112.8493,US-MT
-118.993514014,46.198995885,46.19905,-118.9936,US-WA
-88.9049054929999,33.923576295,33.923683,-88.905167,US-MS
-89.443616592,31.089727881,,,US-MS
-122.606043392,38.9983470280001,38.998342,-122.60603,US-CA
-108.773611405,43.028956544,43.02729,-108.7687,US-WY
-92.131862784,37.4915469540001,37.48595,-92.13701,US-MO
-118.502879551,37.405888191,37.405883,-118.502867,US-CA
-95.1871904509999,32.884355826,32.88435,-95.18718333,US-TX
-96.644367727,36.2468863770001,36.24688,-96.64436,US-OK
-121.904119541,40.8536442270001,40.853639,-121.904106,US-CA
-94.852467265,36.30279648,36.30279,-94.85246,US-OK
-88.0822274179999,33.111117259,,,US-AL
-118.15157217,34.0341548590001,34.03415,-118.15156,US-CA
-118.136942223,34.6893749320001,34.68937,-118.13693,US-CA
-85.89494462,33.463556317,33.46355,-85.89494,US-AL
-94.5207671319999,35.6952263860001,35.69522,-94.52076,US-OK
-95.101599759,34.9686756850001,,,US-OK
-114.36641154,34.516435131,35.10054,-113.877,US-AZ
-115.213111866,36.3900053030001,36.40089,-115.1809,US-NV
-120.497540677,35.4549178670001,35.454913,-120.497528,US-CA
-100.690441062,46.703767654,,,US-ND
-86.855282548,30.4966723380001,,,US-FL
-117.847342155,34.4690849250001,34.46908,-117.84733,US-CA
-87.369435074,34.1001363930001,34.10013,-87.36943,US-AL
-92.347576295,31.4683156560001,31.46831,-92.34757,US-LA
-83.521218151,37.1309071700001,37.1309,-83.521214,US-KY
-92.046226603,37.4455468310001,37.44554,-92.04622,US-MO
-116.750052919,33.9030519230001,33.903047,-116.750041,US-CA
-112.256012789,46.5838765890001,46.58387,-112.256,US-MT
-95.018408703,47.876508261,47.8765,-95.0184,US-MN
-81.638543382,33.383716453,33.38371,-81.63854,US-SC
-117.78581211,34.0581948830001,34.05819,-117.7858,US-CA
-113.373011606,37.2265155220001,37.22651,-113.373,US-UT
-117.319314048,47.721246164,47.72203,-117.3141,US-WA
-88.715838596,30.440561121,,,US-MS
-108.974233899,44.5624952950001,,,US-WY
-92.437706334,31.7468857100001,31.74694,-92.4377,US-LA
-106.495610165,37.0697759450001,37.06977,-106.4956,US-CO
-118.024362136,33.8747248490001,33.87472,-118.02435,US-CA
-87.43723503,32.9653361530001,32.96533,-87.43723,US-AL
-117.86978212,33.995344871,33.99534,-117.86977,US-CA
-108.504012236,47.904840076,47.904833,-108.504,US-MT
-118.546332268,34.421394879,34.42139,-118.54632,US-CA
-118.164802173,34.037004859,34.037,-118.16479,US-CA
-85.578324546,33.7697163940001,33.76971,-85.57832,US-AL
-120.437594625,34.995733826,34.995729,-120.437582,US-CA
-89.402655657,34.351586361,34.35164,-89.40273,US-MS
-82.198059356,37.095840518,,,US-VA
-104.284609293,32.279275317,32.26569,-104.291,US-NM
-117.774172107,34.034974881,34.03497,-117.77416,US-CA
-94.4577134309999,30.4129759670001,30.41297061,-94.45770663,US-TX
-89.011335357,30.725875617,30.74985,-88.99963,US-MS
-96.33809067,31.5284888480001,31.52848333,-96.33808333,US-TX
-82.192223712,36.4129370790001,36.4677,-82.11579,US-TN
-118.009414422,48.7364561570001,48.73644,-118.0082,US-WA
-94.657437377,38.248266834,38.24826,-94.65743,US-KS
-81.811773253,29.080835461,29.09738,-81.81277,US-FL
-75.564001672,35.8410071960001,35.85408,-75.57812,US-NC
-92.380396714,37.687206858,37.6872,-92.38039,US-MO
